text	motif
312	теперь сидя на камне этот чернобородый с гноящимися от солнца и бессонницы глазами человек тосковал
313	солнце склоняется
313	солнце склоняется
313	далее солнце склоняется а смерти нет
317	видя что клятвы и брань не действуют и ничего от этого на солнцепеке не меняется он сжал сухие кулаки зажмурившись вознес их к небу к солнцу которое сползало все ниже удлиняя тени и уходя чтобы упасть в средиземное море и потребовал у бога немедленного чуда
317	видя что клятвы и брань не действуют и ничего от этого на солнцепеке не меняется он сжал сухие кулаки зажмурившись вознес их к небу к солнцу которое сползало все ниже удлиняя тени и уходя чтобы упасть в средиземное море и потребовал у бога немедленного чуда
318	солнце посылало лучи в спины казнимых обращенных лицами к ершалаиму
318	да другой бог не допустил бы того никогда не допустил бы чтобы человек подобный иешуа был сжигаем солнцем на столбе
319	солнце исчезло не дойдя до моря в котором тонуло ежевечерне
321	повешенный на нем гестас к концу третьего часа казни сошел с ума от мух и солнца и теперь тихо пел что-то про виноград но головою покрытой чалмой изредка все-таки покачивал и тогда мухи вяло поднимались с его лица и возвращались на него опять
352	его не веселили солнечные пятна играющие весною на кирпичных дорожках владимирской горки
364	он начал рвать за ручку выходную дверь в страхе не соображая куда она открывается наружу или внутрь наконец совладал с нею и вылетел на солнце во двор
410	я погибаю из-за любви и стукнув себя в грудь маргарита глянула на солнце
410	я погибаю из-за любви и стукнув себя в грудь маргарита глянула на солнце
546	в это время солнце вернулось в ершалаим и прежде чем уйти и утонуть в средиземном море посылало прощальные лучи
546	в это время солнце вернулось в ершалаим и прежде чем уйти и утонуть в средиземном море посылало прощальные лучи ненавидимому прокуратором городу и золотило ступени балкона
552	умирать от ожогов солнца
552	умирать от ожогов солнца
559	тут только прокуратор увидел что солнца уже нет и пришли сумерки
559	тут только прокуратор увидел что солнца уже нет и пришли сумерки
610	так он видел город странный непонятный несуществующий с глыбами мрамора источенными колоннадами со сверкающими на солнце крышами с черной мрачной и безжалостной башней антония со дворцом на западном холме погруженным до крыш почти в тропическую зелень сада с бронзовыми горящими в закате статуями над этой зеленью он видел идущие под стенами древнего города римские закованные в броню кентурии
610	так он видел город странный непонятный несуществующий с глыбами мрамора источенными колоннадами со сверкающими на солнце крышами с черной мрачной и безжалостной башней антония со дворцом на западном холме погруженным до крыш почти в тропическую зелень сада с бронзовыми горящими в закате статуями над этой зеленью он видел идущие под стенами древнего города римские закованные в броню кентурии
620	было сказано что в ней открывали окна изнутри что доносились из нее звуки пианино и пения и что в окне видели сидящего на подоконнике и греющегося на солнце черного кота
620	было сказано что в ней открывали окна изнутри что доносились из нее звуки пианино и пения и что в окне видели сидящего на подоконнике и греющегося на солнце черного кота
620	около четырех часов жаркого дня большая компания мужчин одетых в штатское высадилась из трех машин несколько не доезжая до дома № 302-бис по садовой улице
620	около четырех часов жаркого дня большая компания мужчин одетых в штатское высадилась из трех машин несколько не доезжая до дома № 302-бис по садовой улице
624	вмиг руки вцепились в гардину и сорвали ее вместе с карнизом отчего солнце хлынуло в затененную комнату
624	вмиг руки вцепились в гардину и сорвали ее вместе с карнизом отчего солнце хлынуло в затененную комнату
627	солнце склоняется
627	солнце склоняется
628	там его к сожалению также безрезультатно обстреляла охрана стерегущая дымовые трубы и кот смылся в заходящем солнце заливавшем город
628	там его к сожалению также безрезультатно обстреляла охрана стерегущая дымовые трубы и кот смылся в заходящем солнце заливавшем город
653	его длинная и широкая шпага была воткнута между двумя рассекшимися плитами террасы вертикально так что получились солнечные часы
653	его длинная и широкая шпага была воткнута между двумя рассекшимися плитами террасы вертикально так что получились солнечные часы
654	опять наступило молчание и оба находящиеся на террасе глядели как в окнах повернутых на запад в верхних этажах громад зажигалось изломанное ослепительное солнце
654	опять наступило молчание и оба находящиеся на террасе глядели как в окнах повернутых на запад в верхних этажах громад зажигалось изломанное ослепительное солнце
660	черная туча поднялась на западе и до половины отрезала солнце
660	черная туча поднялась на западе и до половины отрезала солнце
661	разговор этот шел на закате солнца как раз тогда когда к воланду явился на террасе левий матвей
661	разговор этот шел на закате солнца как раз тогда когда к воланду явился на террасе левий матвей
682	воланд коровьев и бегемот сидели на черных конях в седлах глядя на раскинувшийся за рекою город с ломаным солнцем сверкающим в тысячах окон обращенных на запад
683	нам пора воланд указал рукою в черной перчатке с раструбом туда где бесчисленные солнца плавили стекло за рекою где над этими солнцами стоял туман дым пар раскаленного за день города
683	нам пора воланд указал рукою в черной перчатке с раструбом туда где бесчисленные солнца плавили стекло за рекою где над этими солнцами стоял туман дым пар раскаленного за день города
683	нам пора воланд указал рукою в черной перчатке с раструбом туда где бесчисленные солнца плавили стекло за рекою где над этими солнцами стоял туман дым пар раскаленного за день города
683	нам пора воланд указал рукою в черной перчатке с раструбом туда где бесчисленные солнца плавили стекло за рекою где над этими солнцами стоял туман дым пар раскаленного за день города
696	так значит туда спросил мастер повернулся и указал назад туда где соткался в тылу недавно покинутый город с монастырскими пряничными башнями с разбитым вдребезги солнцем в стекле
696	так значит туда спросил мастер повернулся и указал назад туда где соткался в тылу недавно покинутый город с монастырскими пряничными башнями с разбитым вдребезги солнцем в стекле
697	тут потухло сломанное солнце в стекле
697	тут потухло сломанное солнце в стекле
708	это он свел с ума бедного поэта ивана бездомного он заставлял его грезить и видеть в мучительных снах древний ершалаим и сожженную солнцем безводную лысую гору с тремя повешенными на столбах
708	это он свел с ума бедного поэта ивана бездомного он заставлял его грезить и видеть в мучительных снах древний ершалаим и сожженную солнцем безводную лысую гору с тремя повешенными на столбах
747	я погибаю из-за любви и стукнув себя в грудь маргарита глянула на солнце
747	я погибаю из-за любви и стукнув себя в грудь маргарита глянула на солнце
885	в это время солнце вернулось в ершалаим и прежде чем уйти и утонуть в средиземном море посылало прощальные лучи
891	умирать от ожогов солнца
891	умирать от ожогов солнца
898	тут только прокуратор увидел что солнца уже нет и пришли сумерки
898	тут только прокуратор увидел что солнца уже нет и пришли сумерки
950	так он видел город странный непонятный несуществующий с глыбами мрамора источенными колоннадами со сверкающими на солнце крышами с черной мрачной и безжалостной башней антония со дворцом на западном холме погруженным до крыш почти в тропическую зелень сада с бронзовыми горящими в закате статуями над этой зеленью он видел идущие под стенами древнего города римские закованные в броню кентурии
950	так он видел город странный непонятный несуществующий с глыбами мрамора источенными колоннадами со сверкающими на солнце крышами с черной мрачной и безжалостной башней антония со дворцом на западном холме погруженным до крыш почти в тропическую зелень сада с бронзовыми горящими в закате статуями над этой зеленью он видел идущие под стенами древнего города римские закованные в броню кентурии
960	было сказано что в ней открывали окна изнутри что доносились из нее звуки пианино и пения и что в окне видели сидящего на подоконнике и греющегося на солнце черного кота
960	около четырех часов жаркого дня большая компания мужчин одетых в штатское высадилась из трех машин несколько не доезжая до дома № 302-бис по садовой улице
960	было сказано что в ней открывали окна изнутри что доносились из нее звуки пианино и пения и что в окне видели сидящего на подоконнике и греющегося на солнце черного кота
960	около четырех часов жаркого дня большая компания мужчин одетых в штатское высадилась из трех машин несколько не доезжая до дома № 302-бис по садовой улице
964	вмиг руки вцепились в гардину и сорвали ее вместе с карнизом отчего солнце хлынуло в затененную комнату
964	вмиг руки вцепились в гардину и сорвали ее вместе с карнизом отчего солнце хлынуло в затененную комнату
967	солнце склоняется
967	солнце склоняется
968	там его к сожалению также безрезультатно обстреляла охрана стерегущая дымовые трубы и кот смылся в заходящем солнце заливавшем город
968	там его к сожалению также безрезультатно обстреляла охрана стерегущая дымовые трубы и кот смылся в заходящем солнце заливавшем город
993	его длинная и широкая шпага была воткнута между двумя рассекшимися плитами террасы вертикально так что получились солнечные часы
993	его длинная и широкая шпага была воткнута между двумя рассекшимися плитами террасы вертикально так что получились солнечные часы
994	опять наступило молчание и оба находящиеся на террасе глядели как в окнах повернутых на запад в верхних этажах громад зажигалось изломанное ослепительное солнце
994	опять наступило молчание и оба находящиеся на террасе глядели как в окнах повернутых на запад в верхних этажах громад зажигалось изломанное ослепительное солнце
1000	черная туча поднялась на западе и до половины отрезала солнце
1000	черная туча поднялась на западе и до половины отрезала солнце
1002	разговор этот шел на закате солнца как раз тогда когда к воланду явился на террасе левий матвей
1002	разговор этот шел на закате солнца как раз тогда когда к воланду явился на террасе левий матвей
1024	нам пора воланд указал рукою в черной перчатке с раструбом туда где бесчисленные солнца плавили стекло за рекою где над этими солнцами стоял туман дым пар раскаленного за день города
1024	нам пора воланд указал рукою в черной перчатке с раструбом туда где бесчисленные солнца плавили стекло за рекою где над этими солнцами стоял туман дым пар раскаленного за день города
1024	нам пора воланд указал рукою в черной перчатке с раструбом туда где бесчисленные солнца плавили стекло за рекою где над этими солнцами стоял туман дым пар раскаленного за день города
1024	воланд коровьев и бегемот сидели на черных конях в седлах глядя на раскинувшийся за рекою город с ломаным солнцем сверкающим в тысячах окон обращенных на запад
1024	нам пора воланд указал рукою в черной перчатке с раструбом туда где бесчисленные солнца плавили стекло за рекою где над этими солнцами стоял туман дым пар раскаленного за день города
1038	так значит туда спросил мастер повернулся и указал назад туда где соткался в тылу недавно покинутый город с монастырскими пряничными башнями с разбитым вдребезги солнцем в стекле
1038	так значит туда спросил мастер повернулся и указал назад туда где соткался в тылу недавно покинутый город с монастырскими пряничными башнями с разбитым вдребезги солнцем в стекле
1039	тут потухло сломанное солнце в стекле
1039	тут потухло сломанное солнце в стекле
1050	это он свел с ума бедного поэта ивана бездомного он заставлял его грезить и видеть в мучительных снах древний ершалаим и сожженную солнцем безводную лысую гору с тремя повешенными на столбах
1050	это он свел с ума бедного поэта ивана бездомного он заставлял его грезить и видеть в мучительных снах древний ершалаим и сожженную солнцем безводную лысую гору с тремя повешенными на столбах
