text	motif
494	я слышу в этой гробовой тишине как скрипят его лакированные туфли и как звенит бокал который он поставил на стол последний раз в этой жизни выпив шампанское
496	коровьев подставил чашу под бьющуюся струю и передал наполнившуюся чашу воланду
496	коровьев подставил чашу под бьющуюся струю и передал наполнившуюся чашу воланду
496	я пью ваше здоровье господа негромко сказал воланд и подняв чашу прикоснулся к ней губами
496	я пью ваше здоровье господа негромко сказал воланд и подняв чашу прикоснулся к ней губами
496	коровьев подставил чашу под бьющуюся струю и передал наполнившуюся чашу воланду
496	коровьев подставил чашу под бьющуюся струю и передал наполнившуюся чашу воланду
497	у маргариты закружилась голова ее шатнуло но чаша оказалась уже у ее губ и чьи-то голоса а чьи она не разобрала шепнули в оба уха не бойтесь королева не бойтесь королева кровь давно ушла в землю
497	он быстро приблизился к маргарите поднес ей чашу и повелительно сказал пей
497	у маргариты закружилась голова ее шатнуло но чаша оказалась уже у ее губ и чьи-то голоса а чьи она не разобрала шепнули в оба уха не бойтесь королева не бойтесь королева кровь давно ушла в землю
497	он быстро приблизился к маргарите поднес ей чашу и повелительно сказал пей
498	маргарита улыбнулась и сделала попытку отодвинуть от себя стакан
498	маргарита улыбнулась и сделала попытку отодвинуть от себя стакан
499	бегемот отрезал кусок ананаса посолил его поперчил съел и после этого так залихватски тяпнул вторую стопку спирта что все зааплодировали
499	воланд молча поднял стакан и чокнулся с маргаритой
499	тотчас взяла стакан в руки
499	бегемот отрезал кусок ананаса посолил его поперчил съел и после этого так залихватски тяпнул вторую стопку спирта что все зааплодировали
499	бегемот отрезал кусок ананаса посолил его поперчил съел и после этого так залихватски тяпнул вторую стопку спирта что все зааплодировали
499	воланд молча поднял стакан и чокнулся с маргаритой
499	после второй стопки выпитой маргаритой свечи в канделябрах
499	бегемот отрезал кусок ананаса посолил его поперчил съел и после этого так залихватски тяпнул вторую стопку спирта что все зааплодировали
506	один из бокалов упал со стола и разбился
506	один из бокалов упал со стола и разбился
514	нагая но уже без всяких признаков хмеля женщина с исступленными глазами вбежала в комнату и простерла руки к маргарите а та сказала величественно тебя прощают
516	больной взял стакан и выпил то что было в нем но рука его дрогнула и опустевший стакан разбился у его ног
516	больной взял стакан и выпил то что было в нем но рука его дрогнула и опустевший стакан разбился у его ног
516	больной взял стакан и выпил то что было в нем но рука его дрогнула и опустевший стакан разбился у его ног
516	больной взял стакан и выпил то что было в нем но рука его дрогнула и опустевший стакан разбился у его ног
517	после того как мастер осушил второй стакан его глаза стали живыми и осмысленными
517	после того как мастер осушил второй стакан его глаза стали живыми и осмысленными
517	после того как мастер осушил второй стакан его глаза стали живыми и осмысленными
517	после того как мастер осушил второй стакан его глаза стали живыми и осмысленными
520	ничего ничего ничего шептал коровьев извиваясь возле мастера ничего ничего еще стаканчик и я с вами за компанию и стаканчик подмигнул блеснул в лунном свете и помог этот стаканчик
520	ничего ничего ничего шептал коровьев извиваясь возле мастера ничего ничего еще стаканчик и я с вами за компанию и стаканчик подмигнул блеснул в лунном свете и помог этот стаканчик
520	ничего ничего ничего шептал коровьев извиваясь возле мастера ничего ничего еще стаканчик и я с вами за компанию и стаканчик подмигнул блеснул в лунном свете и помог этот стаканчик
520	ничего ничего ничего шептал коровьев извиваясь возле мастера ничего ничего еще стаканчик и я с вами за компанию и стаканчик подмигнул блеснул в лунном свете и помог этот стаканчик
520	ничего ничего ничего шептал коровьев извиваясь возле мастера ничего ничего еще стаканчик и я с вами за компанию и стаканчик подмигнул блеснул в лунном свете и помог этот стаканчик
520	ничего ничего ничего шептал коровьев извиваясь возле мастера ничего ничего еще стаканчик и я с вами за компанию и стаканчик подмигнул блеснул в лунном свете и помог этот стаканчик
537	что вы гражданин пьяный что ли
537	что вы гражданин пьяный что ли
537	пьяный
539	тетрадь исковерканная огнем лежала перед нею а рядом возвышалась стопка нетронутых тетрадей
539	тетрадь исковерканная огнем лежала перед нею а рядом возвышалась стопка нетронутых тетрадей
543	лежащий на ложе в грозовом полумраке прокуратор сам наливал себе вино в чашу пил долгими глотками по временам притрагивался к хлебу крошил его глотал маленькими кусочками время от времени высасывал устрицы жевал лимон и пил опять
543	лежащий на ложе в грозовом полумраке прокуратор сам наливал себе вино в чашу пил долгими глотками по временам притрагивался к хлебу крошил его глотал маленькими кусочками время от времени высасывал устрицы жевал лимон и пил опять
547	пришедший прилег слуга налил в его чашу густое красное вино
547	другой слуга осторожно наклоняясь над плечом пилата наполнил чашу прокуратора
547	пришедший прилег слуга налил в его чашу густое красное вино
547	другой слуга осторожно наклоняясь над плечом пилата наполнил чашу прокуратора
548	пришедший не отказался и от второй чаши вина с видимым наслаждением проглотил несколько устриц отведал вареных овощей съел кусок мяса
548	тогда пилат наполнил свою чашу гость поступил так же
548	пришедший не отказался и от второй чаши вина с видимым наслаждением проглотил несколько устриц отведал вареных овощей съел кусок мяса
548	тогда пилат наполнил свою чашу гость поступил так же
549	немного вина из своих чаш в блюдо с мясом и прокуратор произнес громко поднимая чашу за нас за тебя кесарь отец римлян самый дорогой и лучший из людей
549	немного вина из своих чаш в блюдо с мясом и прокуратор произнес громко поднимая чашу за нас за тебя кесарь отец римлян самый дорогой и лучший из людей
553	прокуратор стукнул чашей наливая себе вина
553	прокуратор стукнул чашей наливая себе вина
560	оставил его и забегал по балкону то потирая руки то подбегая к столу и хватаясь за чашу то останавливаясь и начиная бессмысленно глядеть в мозаику пола как будто пытаясь прочесть в ней какие-то письмена
576	изредка заглядывая в окна выходящие на улицу всадник мог видеть людей за праздничным столом на котором лежало мясо козленка стояли чаши с вином меж блюд с горькими травами
576	изредка заглядывая в окна выходящие на улицу всадник мог видеть людей за праздничным столом на котором лежало мясо козленка стояли чаши с вином меж блюд с горькими травами
615	блуждая глазами иван савельевич заявлял что днем в четверг он у себя в кабинете в варьете в одиночку напился пьяным после чего куда-то пошел а куда не помнит где-то еще пил старку а где не помнит где-то валялся под забором а где не помнит опять-таки
615	блуждая глазами иван савельевич заявлял что днем в четверг он у себя в кабинете в варьете в одиночку напился пьяным после чего куда-то пошел а куда не помнит где-то еще пил старку а где не помнит где-то валялся под забором а где не помнит опять-таки
615	блуждая глазами иван савельевич заявлял что днем в четверг он у себя в кабинете в варьете в одиночку напился пьяным после чего куда-то пошел а куда не помнит где-то еще пил старку а где не помнит где-то валялся под забором а где не помнит опять-таки
615	блуждая глазами иван савельевич заявлял что днем в четверг он у себя в кабинете в варьете в одиночку напился пьяным после чего куда-то пошел а куда не помнит где-то еще пил старку а где не помнит где-то валялся под забором а где не помнит опять-таки
615	блуждая глазами иван савельевич заявлял что днем в четверг он у себя в кабинете в варьете в одиночку напился пьяным после чего куда-то пошел а куда не помнит где-то еще пил старку а где не помнит где-то валялся под забором а где не помнит опять-таки
615	блуждая глазами иван савельевич заявлял что днем в четверг он у себя в кабинете в варьете в одиночку напился пьяным после чего куда-то пошел а куда не помнит где-то еще пил старку а где не помнит где-то валялся под забором а где не помнит опять-таки
624	единственно что может спасти смертельно раненного кота проговорил кот это глоток бензина и воспользовавшись замешательством он приложился к круглому отверстию в примусе и напился бензину
624	единственно что может спасти смертельно раненного кота проговорил кот это глоток бензина и воспользовавшись замешательством он приложился к круглому отверстию в примусе и напился бензину
624	единственно что может спасти смертельно раненного кота проговорил кот это глоток бензина и воспользовавшись замешательством он приложился к круглому отверстию в примусе и напился бензину
624	единственно что может спасти смертельно раненного кота проговорил кот это глоток бензина и воспользовавшись замешательством он приложился к круглому отверстию в примусе и напился бензину
624	ты покинул бедного бегемота променяв его на стакан правда очень хорошего коньяку
624	ты покинул бедного бегемота променяв его на стакан правда очень хорошего коньяку
627	затем он плеснул вниз бензином и этот бензин сам собою вспыхнул выбросив волну пламени до самого потолка
627	затем он плеснул вниз бензином и этот бензин сам собою вспыхнул выбросив волну пламени до самого потолка
627	затем он плеснул вниз бензином и этот бензин сам собою вспыхнул выбросив волну пламени до самого потолка
627	затем он плеснул вниз бензином и этот бензин сам собою вспыхнул выбросив волну пламени до самого потолка
646	один уже подносил спичку бегемоту вынувшему из кармана окурок и всунувшему его в рот другой подлетел звеня зеленым стеклом и выставляя у приборов рюмки лафитники и тонкостенные бокалы из которых так хорошо пьется нарзан под тентом нет забегая вперед скажем пился нарзан под тентом незабвенной грибоедовской
646	один уже подносил спичку бегемоту вынувшему из кармана окурок и всунувшему его в рот другой подлетел звеня зеленым стеклом и выставляя у приборов рюмки лафитники и тонкостенные бокалы из которых так хорошо пьется нарзан под тентом нет забегая вперед скажем пился
646	один уже подносил спичку бегемоту вынувшему из кармана окурок и всунувшему его в рот другой подлетел звеня зеленым стеклом и выставляя у приборов рюмки лафитники и тонкостенные бокалы из которых так хорошо пьется нарзан под тентом нет забегая вперед скажем пился нарзан под тентом незабвенной грибоедовской
646	один уже подносил спичку бегемоту вынувшему из кармана окурок и всунувшему его в рот другой подлетел звеня зеленым стеклом и выставляя у приборов рюмки лафитники и тонкостенные бокалы из которых так хорошо пьется нарзан под тентом нет забегая вперед скажем пился
646	один уже подносил спичку бегемоту вынувшему из кармана окурок и всунувшему его в рот другой подлетел звеня зеленым стеклом и выставляя у приборов рюмки лафитники и тонкостенные бокалы из которых так хорошо пьется нарзан под тентом нет забегая вперед скажем пился нарзан под тентом незабвенной грибоедовской
646	один уже подносил спичку бегемоту вынувшему из кармана окурок и всунувшему его в рот другой подлетел звеня зеленым стеклом и выставляя у приборов рюмки лафитники и тонкостенные бокалы из которых так хорошо пьется нарзан под тентом нет забегая вперед скажем пился
646	один уже подносил спичку бегемоту вынувшему из кармана окурок и всунувшему его в рот другой подлетел звеня зеленым стеклом и выставляя у приборов рюмки лафитники и тонкостенные бокалы из которых так хорошо пьется нарзан под тентом нет забегая вперед скажем пился
646	один уже подносил спичку бегемоту вынувшему из кармана окурок и всунувшему его в рот другой подлетел звеня зеленым стеклом и выставляя у приборов рюмки лафитники и тонкостенные бокалы из которых так хорошо пьется нарзан под тентом нет забегая вперед скажем пился нарзан под тентом незабвенной грибоедовской
650	в то время как коровьев и бегемот чокались второй рюмкой прекрасной холодной московской двойной очистки водки появился на веранде потный и взволнованный хроникер боба кандалупский известный в москве своим поразительным всеведением и сейчас же подсел к петраковым
650	в то время как коровьев и бегемот чокались второй рюмкой прекрасной холодной московской двойной очистки водки появился на веранде потный и взволнованный хроникер боба кандалупский известный в москве своим поразительным всеведением и сейчас же подсел к петраковым
662	а на круглом столе был накрыт обед и среди закусок стояло несколько бутылок
662	а на круглом столе был накрыт обед и среди закусок стояло несколько бутылок
669	коньяк он тоже ловко пил как и все добрые люди целыми стопками и не закусывая
669	коньяк он тоже ловко пил как и все добрые люди целыми стопками и не закусывая
670	выпив третью стопку коньяку который на азазелло не производил никакого действия визитер заговорил так а уютный подвальчик черт меня возьми
670	выпив третью стопку коньяку который на азазелло не производил никакого действия визитер заговорил так а уютный подвальчик черт меня возьми
671	ведь мессир прислал вам подарок тут он отнесся именно к мастеру бутылку вина
671	ведь мессир прислал вам подарок тут он отнесся именно к мастеру бутылку вина
672	все трое приложились к стаканам и сделали по большому глотку
672	здоровье воланда воскликнула маргарита поднимая свой стакан
672	вино нюхали налили в стаканы глядели сквозь него на исчезающий перед грозою свет в окне
672	все трое приложились к стаканам и сделали по большому глотку
672	здоровье воланда воскликнула маргарита поднимая свой стакан
672	вино нюхали налили в стаканы глядели сквозь него на исчезающий перед грозою свет в окне
713	более того в тот же вечер никанор иванович на которого смерть популярного артиста навеяла массу тягостных воспоминаний один в компании только с полной луной освещающей садовую напился до ужаса
713	более того в тот же вечер никанор иванович на которого смерть популярного артиста навеяла массу тягостных воспоминаний один в компании только с полной луной освещающей садовую напился до ужаса
713	более того в тот же вечер никанор иванович на которого смерть популярного артиста навеяла массу тягостных воспоминаний один в компании только с полной луной освещающей садовую напился до ужаса
713	и с каждой рюмкой удлинялась перед ним проклятая цепь ненавистных фигур и были в этой цепи и дунчиль сергей герардович и красотка ида геркулановна и тот рыжий владелец бойцовых гусей и откровенный канавкин
713	более того в тот же вечер никанор иванович на которого смерть популярного артиста навеяла массу тягостных воспоминаний один в компании только с полной луной освещающей садовую напился до ужаса
782	козлоногий поднес ей бокал с
813	возле них метались негры в алых повязках серебряными черпаками наполняя из бассейнов плоские чаши
813	возле них метались негры в алых повязках серебряными черпаками наполняя из бассейнов плоские чаши
818	уже теснили господина жака с супругой в сторону к чашам с шампанским которые негры держали в руках
819	бокал шампанского
819	бокал шампанского
825	два пьяных вампира все
825	два пьяных вампира все
828	во всей этой кутерьме запомнилось одно совершенно пьяное женское лицо с бессмысленными но и в бессмысленности умоляющими глазами и вспомнилось одно слово фрида
828	через несколько секунд бассейн был полон и кот трижды перевернувшись в воздухе обрушился в колыхающийся коньяк
828	выскакивали из бассейна совершенно пьяными
828	во всей этой кутерьме запомнилось одно совершенно пьяное женское
828	через несколько секунд бассейн был полон и кот трижды перевернувшись в воздухе обрушился в колыхающийся коньяк
828	выскакивали из бассейна совершенно пьяными
832	я слышу в этой гробовой тишине как скрипят его лакированные туфли и как звенит бокал который он поставил на стол последний раз в этой жизни выпив шампанское
832	я слышу в этой гробовой тишине как скрипят его лакированные туфли и как звенит бокал который он поставил на стол последний раз в этой жизни выпив шампанское
835	коровьев подставил чашу под бьющуюся струю и передал наполнившуюся чашу воланду
835	коровьев подставил чашу под бьющуюся струю и передал наполнившуюся чашу воланду
835	я пью ваше здоровье господа негромко сказал воланд и подняв чашу прикоснулся к ней губами
835	он быстро приблизился к маргарите поднес ей чашу и повелительно сказал пей
835	он быстро приблизился к маргарите поднес ей чашу и повелительно сказал пей
835	коровьев подставил чашу под бьющуюся струю и передал наполнившуюся чашу воланду
835	у маргариты закружилась голова ее шатнуло но чаша оказалась уже у ее губ и чьи-то голоса а чьи она не разобрала шепнули в оба уха не бойтесь королева не бойтесь королева кровь давно ушла в землю
835	у маргариты закружилась голова ее шатнуло но чаша оказалась уже у ее губ и чьи-то голоса а чьи она не разобрала шепнули в оба уха не бойтесь королева не бойтесь королева кровь давно ушла в землю
835	коровьев подставил чашу под бьющуюся струю и передал наполнившуюся чашу воланду
835	я пью ваше здоровье господа негромко сказал воланд и подняв чашу прикоснулся к ней губами
837	смело пейте сказал воланд и маргарита тотчас взяла стакан в руки
837	маргарита улыбнулась и сделала попытку отодвинуть от себя стакан
837	тотчас взяла стакан в руки
837	маргарита улыбнулась и сделала попытку отодвинуть от себя стакан
838	воланд молча поднял стакан и чокнулся с маргаритой
838	бегемот отрезал кусок ананаса посолил его поперчил съел и после этого так залихватски тяпнул вторую стопку спирта что все зааплодировали
838	после второй стопки выпитой маргаритой свечи в канделябрах разгорелись поярче и в камине прибавилось пламени
838	бегемот отрезал кусок ананаса посолил его поперчил съел и после этого так залихватски тяпнул вторую стопку спирта что все зааплодировали
838	воланд молча поднял стакан и чокнулся с маргаритой
838	бегемот отрезал кусок ананаса посолил его поперчил съел и после этого так залихватски тяпнул вторую стопку спирта что все зааплодировали
838	после второй стопки выпитой маргаритой свечи в канделябрах
838	бегемот отрезал кусок ананаса посолил его поперчил съел и после этого так залихватски тяпнул вторую стопку спирта что все зааплодировали
845	один из бокалов упал со стола и разбился
845	один из бокалов упал со стола и разбился
852	дверь распахнулась и растрепанная нагая но уже без всяких признаков хмеля женщина с исступленными
855	больной взял стакан и выпил то что было в нем но рука его дрогнула и опустевший стакан разбился у его ног
855	больной взял стакан и выпил то что было в нем но рука его дрогнула и опустевший стакан разбился у его ног
855	больной взял стакан и выпил то что было в нем но рука его дрогнула и опустевший стакан разбился у его ног
855	больной взял стакан и выпил то что было в нем но рука его дрогнула и опустевший стакан разбился у его ног
856	после того как мастер осушил второй стакан его глаза стали живыми и осмысленными
856	после того как мастер осушил второй стакан его глаза стали живыми и осмысленными
856	после того как мастер осушил второй стакан его глаза стали живыми и осмысленными
856	после того как мастер осушил второй стакан его глаза стали живыми и осмысленными
859	ничего ничего ничего шептал коровьев извиваясь возле мастера ничего ничего еще стаканчик и я с вами за компанию и стаканчик подмигнул блеснул в лунном свете и помог этот стаканчик
859	ничего ничего ничего шептал коровьев извиваясь возле мастера ничего ничего еще стаканчик и я с вами за компанию и стаканчик подмигнул блеснул в лунном свете и помог этот стаканчик
859	ничего ничего ничего шептал коровьев извиваясь возле мастера ничего ничего еще стаканчик и я с вами за компанию и стаканчик подмигнул блеснул в лунном свете и помог этот стаканчик
859	ничего ничего ничего шептал коровьев извиваясь возле мастера ничего ничего еще стаканчик и я с вами за компанию и стаканчик подмигнул блеснул в лунном свете и помог этот стаканчик
859	ничего ничего ничего шептал коровьев извиваясь возле мастера ничего ничего еще стаканчик и я с вами за компанию и стаканчик подмигнул блеснул в лунном свете и помог этот стаканчик
859	ничего ничего ничего шептал коровьев извиваясь возле мастера ничего ничего еще стаканчик и я с вами за компанию и стаканчик подмигнул блеснул в лунном свете и помог этот стаканчик
876	что вы гражданин пьяный что ли
876	что вы гражданин пьяный что ли
876	пьяный
878	тетрадь исковерканная огнем лежала перед нею а рядом возвышалась стопка нетронутых тетрадей
878	тетрадь исковерканная огнем лежала перед нею а рядом возвышалась стопка нетронутых тетрадей
882	лежащий на ложе в грозовом полумраке прокуратор сам наливал себе вино в чашу пил долгими глотками по временам притрагивался к хлебу крошил его глотал маленькими кусочками время от времени высасывал устрицы жевал лимон и пил опять
882	лежащий на ложе в грозовом полумраке прокуратор сам наливал себе вино в чашу пил долгими глотками по временам притрагивался к хлебу крошил его глотал маленькими кусочками время от времени высасывал устрицы жевал лимон и пил опять
886	другой слуга осторожно наклоняясь над плечом пилата наполнил чашу прокуратора
886	другой слуга осторожно наклоняясь над плечом пилата наполнил чашу прокуратора
886	пришедший прилег слуга налил в его чашу густое красное вино
886	пришедший прилег слуга налил в его чашу густое красное вино
887	пришедший не отказался и от второй чаши вина с видимым наслаждением проглотил несколько устриц отведал вареных овощей съел кусок мяса
887	пришедший не отказался и от второй чаши вина с видимым наслаждением проглотил несколько устриц отведал вареных овощей съел кусок мяса
888	оба обедающие отлили немного вина из своих чаш в блюдо с мясом и прокуратор произнес громко поднимая чашу за нас за тебя кесарь отец римлян самый дорогой и лучший из людей
888	немного вина из своих чаш в блюдо с мясом и прокуратор произнес громко поднимая чашу за нас за тебя кесарь отец римлян самый дорогой и лучший из людей
888	тогда пилат наполнил свою чашу гость поступил так же
888	немного вина из своих чаш в блюдо с мясом и прокуратор произнес громко поднимая чашу за нас за тебя кесарь отец римлян самый дорогой и лучший из людей
888	тогда пилат наполнил свою чашу гость поступил так же
888	оба обедающие отлили немного вина из своих чаш в блюдо с мясом и прокуратор произнес громко поднимая чашу за нас за тебя кесарь отец римлян самый дорогой и лучший из людей
892	прокуратор стукнул чашей наливая себе вина
892	прокуратор стукнул чашей наливая себе вина
899	допустив малодушие пошевелив плащ прокуратор оставил его и забегал по балкону то потирая руки то подбегая к столу и хватаясь за чашу то останавливаясь и начиная бессмысленно глядеть в мозаику пола как будто пытаясь прочесть в ней какие-то письмена
899	оставил его и забегал по балкону то потирая руки то подбегая к столу и хватаясь за чашу то останавливаясь и начиная бессмысленно глядеть в мозаику пола как будто пытаясь прочесть в ней какие-то письмена
915	изредка заглядывая в окна выходящие на улицу всадник мог видеть людей за праздничным столом на котором лежало мясо козленка стояли чаши с вином меж блюд с горькими травами
915	изредка заглядывая в окна выходящие на улицу всадник мог видеть людей за праздничным столом на котором лежало мясо козленка стояли чаши с вином меж блюд с горькими травами
955	блуждая глазами иван савельевич заявлял что днем в четверг он у себя в кабинете в варьете в одиночку напился пьяным после чего куда-то пошел а куда не помнит где-то еще пил старку а где не помнит где-то валялся под забором а где не помнит опять-таки
955	блуждая глазами иван савельевич заявлял что днем в четверг он у себя в кабинете в варьете в одиночку напился пьяным после чего куда-то пошел а куда не помнит где-то еще пил старку а где не помнит где-то валялся под забором а где не помнит опять-таки
955	блуждая глазами иван савельевич заявлял что днем в четверг он у себя в кабинете в варьете в одиночку напился пьяным после чего куда-то пошел а куда не помнит где-то еще пил старку а где не помнит где-то валялся под забором а где не помнит опять-таки
955	блуждая глазами иван савельевич заявлял что днем в четверг он у себя в кабинете в варьете в одиночку напился пьяным после чего куда-то пошел а куда не помнит где-то еще пил старку а где не помнит где-то валялся под забором а где не помнит опять-таки
955	блуждая глазами иван савельевич заявлял что днем в четверг он у себя в кабинете в варьете в одиночку напился пьяным после чего куда-то пошел а куда не помнит где-то еще пил старку а где не помнит где-то валялся под забором а где не помнит опять-таки
955	блуждая глазами иван савельевич заявлял что днем в четверг он у себя в кабинете в варьете в одиночку напился пьяным после чего куда-то пошел а куда не помнит где-то еще пил старку а где не помнит где-то валялся под забором а где не помнит опять-таки
963	ты покинул бедного бегемота променяв его на стакан правда очень хорошего коньяку
963	ты покинул бедного бегемота променяв его на стакан правда очень хорошего коньяку
964	единственно что может спасти смертельно раненного кота проговорил кот это глоток бензина и воспользовавшись замешательством он приложился к круглому отверстию в примусе и напился бензину
964	единственно что может спасти смертельно раненного кота проговорил кот это глоток бензина и воспользовавшись замешательством он приложился к круглому отверстию в примусе и напился бензину
964	единственно что может спасти смертельно раненного кота проговорил кот это глоток бензина и воспользовавшись замешательством он приложился к круглому отверстию в примусе и напился бензину
964	единственно что может спасти смертельно раненного кота проговорил кот это глоток бензина и воспользовавшись замешательством он приложился к круглому отверстию в примусе и напился бензину
967	затем он плеснул вниз бензином и этот бензин сам собою вспыхнул выбросив волну пламени до самого потолка
967	затем он плеснул вниз бензином и этот бензин сам собою вспыхнул выбросив волну пламени до самого потолка
967	затем он плеснул вниз бензином и этот бензин сам собою вспыхнул выбросив волну пламени до самого потолка
967	затем он плеснул вниз бензином и этот бензин сам собою вспыхнул выбросив волну пламени до самого потолка
986	один уже подносил спичку бегемоту вынувшему из кармана окурок и всунувшему его в рот другой подлетел звеня зеленым стеклом и выставляя у приборов рюмки лафитники и тонкостенные бокалы из которых так хорошо пьется нарзан под тентом нет забегая вперед скажем пился
986	один уже подносил спичку бегемоту вынувшему из кармана окурок и всунувшему его в рот другой подлетел звеня зеленым стеклом и выставляя у приборов рюмки лафитники и тонкостенные бокалы из которых так хорошо пьется нарзан под тентом нет забегая вперед скажем пился
986	один уже подносил спичку бегемоту вынувшему из кармана окурок и всунувшему его в рот другой подлетел звеня зеленым стеклом и выставляя у приборов рюмки лафитники и тонкостенные бокалы из которых так хорошо пьется нарзан под тентом нет забегая вперед скажем пился
986	один уже подносил спичку бегемоту вынувшему из кармана окурок и всунувшему его в рот другой подлетел звеня зеленым стеклом и выставляя у приборов рюмки лафитники и тонкостенные бокалы из которых так хорошо пьется нарзан под тентом нет забегая вперед скажем пился
990	в то время как коровьев и бегемот чокались второй рюмкой прекрасной холодной московской двойной очистки водки появился на веранде потный и взволнованный хроникер боба кандалупский известный в москве своим поразительным всеведением и сейчас же подсел к петраковым
990	в то время как коровьев и бегемот чокались второй рюмкой прекрасной холодной московской двойной очистки водки появился на веранде потный и взволнованный хроникер боба кандалупский известный в москве своим поразительным всеведением и сейчас же подсел к петраковым
